order_id,opened_at,closed_at,side,strategy_name,signal_score,setup_components,signal_reason,qty,entry_price,stop_price,target_price,exit_price,exit_reason,pnl,bars_held
PAPER-000034,2026-06-08T14:02:00+00:00,2026-06-08T14:02:00+00:00,LONG,CONFLUENCE_LONG,4,liquidity sweep reclaim; failed breakdown reclaim,Long confluence score=4: liquidity sweep reclaim; failed breakdown reclaim,1,7435.0,7432.5,7441.5,7441.5,TAKE_PROFIT,30.0,1
PAPER-000035,2026-06-08T14:19:00+00:00,2026-06-08T14:19:00+00:00,LONG,CONFLUENCE_LONG,4,liquidity sweep reclaim; failed breakdown reclaim,Long confluence score=4: liquidity sweep reclaim; failed breakdown reclaim,1,7438.5,7436.0,7445.0,7436.0,STOP_LOSS,-15.0,1
PAPER-000036,2026-06-08T15:02:00+00:00,2026-06-08T15:02:00+00:00,SHORT,CONFLUENCE_SHORT,4,liquidity sweep reject; failed breakout reject,Short confluence score=4: liquidity sweep reject; failed breakout reject,1,7472.25,7474.75,7465.75,7474.75,STOP_LOSS,-15.0,1
PAPER-000037,2026-06-09T14:28:00+00:00,2026-06-09T14:28:00+00:00,SHORT,CONFLUENCE_SHORT,4,liquidity sweep reject; failed breakout reject,Short confluence score=4: liquidity sweep reject; failed breakout reject,1,7436.5,7439.0,7430.0,7439.0,STOP_LOSS,-15.0,1
PAPER-000038,2026-06-09T14:33:00+00:00,2026-06-09T14:33:00+00:00,LONG,CONFLUENCE_LONG,2,liquidity sweep reclaim,Long confluence score=2: liquidity sweep reclaim,1,7427.0,7424.5,7433.5,7433.5,TAKE_PROFIT,30.0,1
PAPER-000039,2026-06-09T15:54:00+00:00,2026-06-09T15:54:00+00:00,SHORT,CONFLUENCE_SHORT,4,liquidity sweep reject; failed breakout reject,Short confluence score=4: liquidity sweep reject; failed breakout reject,1,7340.5,7343.0,7334.0,7343.0,STOP_LOSS,-15.0,1
PAPER-000040,2026-06-09T16:00:00+00:00,2026-06-09T16:01:00+00:00,LONG,CONFLUENCE_LONG,4,liquidity sweep reclaim; failed breakdown reclaim,Long confluence score=4: liquidity sweep reclaim; failed breakdown reclaim,1,7313.5,7311.0,7320.0,7311.0,STOP_LOSS,-15.0,2
PAPER-000041,2026-06-10T13:51:00+00:00,2026-06-10T13:51:00+00:00,SHORT,CONFLUENCE_SHORT,4,liquidity sweep reject; failed breakout reject,Short confluence score=4: liquidity sweep reject; failed breakout reject,1,7387.0,7389.5,7380.5,7380.5,TAKE_PROFIT,30.0,1
PAPER-000042,2026-06-10T15:00:00+00:00,2026-06-10T15:00:00+00:00,LONG,CONFLUENCE_LONG,4,liquidity sweep reclaim; failed breakdown reclaim,Long confluence score=4: liquidity sweep reclaim; failed breakdown reclaim,1,7345.25,7342.75,7351.75,7351.75,TAKE_PROFIT,30.0,1
PAPER-000043,2026-06-10T15:18:00+00:00,2026-06-10T15:18:00+00:00,LONG,CONFLUENCE_LONG,4,liquidity sweep reclaim; failed breakdown reclaim,Long confluence score=4: liquidity sweep reclaim; failed breakdown reclaim,1,7327.0,7324.5,7333.5,7324.5,STOP_LOSS,-15.0,1
PAPER-000044,2026-06-10T15:26:00+00:00,2026-06-10T15:26:00+00:00,SHORT,CONFLUENCE_SHORT,4,liquidity sweep reject; failed breakout reject,Short confluence score=4: liquidity sweep reject; failed breakout reject,1,7338.5,7341.0,7332.0,7341.0,STOP_LOSS,-15.0,1
PAPER-000045,2026-06-11T13:56:00+00:00,2026-06-11T13:56:00+00:00,SHORT,CONFLUENCE_SHORT,4,liquidity sweep reject; failed breakout reject,Short confluence score=4: liquidity sweep reject; failed breakout reject,1,7330.25,7332.75,7323.75,7332.75,STOP_LOSS,-15.0,1
PAPER-000046,2026-06-11T14:04:00+00:00,2026-06-11T14:06:00+00:00,SHORT,CONFLUENCE_SHORT,4,liquidity sweep reject; failed breakout reject,Short confluence score=4: liquidity sweep reject; failed breakout reject,1,7330.0,7332.5,7323.5,7323.5,TAKE_PROFIT,30.0,3
PAPER-000047,2026-06-11T14:13:00+00:00,2026-06-11T14:13:00+00:00,LONG,CONFLUENCE_LONG,4,liquidity sweep reclaim; failed breakdown reclaim,Long confluence score=4: liquidity sweep reclaim; failed breakdown reclaim,1,7308.75,7306.25,7315.25,7306.25,STOP_LOSS,-15.0,1
PAPER-000048,2026-06-11T14:17:00+00:00,2026-06-11T14:17:00+00:00,LONG,CONFLUENCE_LONG,4,liquidity sweep reclaim; failed breakdown reclaim,Long confluence score=4: liquidity sweep reclaim; failed breakdown reclaim,1,7300.75,7298.25,7307.25,7298.25,STOP_LOSS,-15.0,1
