timestamp,open,high,low,close,volume
2026-06-19T04:01:00+00:00,7538.75,7539.5,7538.5,7538.5,145
2026-06-19T04:02:00+00:00,7538.5,7538.5,7536.25,7536.5,155
2026-06-19T04:03:00+00:00,7536.25,7537.5,7534.0,7537.0,790
2026-06-19T04:04:00+00:00,7536.75,7537.5,7532.5,7533.5,825
2026-06-19T04:05:00+00:00,7533.75,7533.75,7532.25,7533.5,294
2026-06-19T04:06:00+00:00,7533.25,7534.25,7533.25,7534.0,131
2026-06-19T04:07:00+00:00,7534.25,7537.25,7534.25,7536.75,369
2026-06-19T04:08:00+00:00,7536.75,7537.0,7535.5,7535.5,144
2026-06-19T04:09:00+00:00,7535.5,7536.75,7535.5,7536.5,75
2026-06-19T04:10:00+00:00,7536.25,7536.25,7535.0,7535.75,176
2026-06-19T04:11:00+00:00,7536.0,7537.0,7536.0,7536.25,90
2026-06-19T04:12:00+00:00,7536.25,7537.5,7536.25,7537.25,116
2026-06-19T04:13:00+00:00,7537.0,7537.25,7536.75,7537.0,100
2026-06-19T04:14:00+00:00,7537.0,7538.25,7537.0,7538.0,157
2026-06-19T04:15:00+00:00,7537.75,7538.5,7537.75,7538.25,85
2026-06-19T04:16:00+00:00,7538.25,7538.25,7535.0,7536.0,512
2026-06-19T04:17:00+00:00,7536.0,7537.75,7535.75,7537.25,230
2026-06-19T04:18:00+00:00,7537.25,7538.0,7536.25,7537.75,146
2026-06-19T04:19:00+00:00,7537.75,7538.0,7537.25,7537.5,86
2026-06-19T04:20:00+00:00,7537.5,7537.75,7536.25,7536.25,86
2026-06-19T04:21:00+00:00,7536.5,7536.75,7535.5,7536.0,96
2026-06-19T04:22:00+00:00,7535.75,7537.25,7535.75,7536.5,63
2026-06-19T04:23:00+00:00,7536.25,7536.25,7534.75,7535.0,102
2026-06-19T04:24:00+00:00,7535.0,7535.0,7534.0,7534.75,164
2026-06-19T04:25:00+00:00,7535.0,7536.5,7534.5,7536.25,88
2026-06-19T04:26:00+00:00,7536.5,7536.75,7535.5,7536.5,87
2026-06-19T04:27:00+00:00,7536.5,7536.5,7534.0,7534.5,174
2026-06-19T04:28:00+00:00,7534.5,7535.25,7534.5,7535.25,68
2026-06-19T04:29:00+00:00,7535.25,7536.0,7534.5,7536.0,64
2026-06-19T04:30:00+00:00,7535.75,7536.25,7535.25,7535.75,68
2026-06-19T04:31:00+00:00,7536.25,7536.25,7534.25,7534.25,168
2026-06-19T04:32:00+00:00,7534.0,7534.5,7533.25,7534.0,192
2026-06-19T04:33:00+00:00,7534.0,7534.0,7531.5,7532.0,413
2026-06-19T04:34:00+00:00,7532.0,7532.25,7531.25,7531.75,291
2026-06-19T04:35:00+00:00,7531.5,7532.0,7530.5,7531.5,292
2026-06-19T04:36:00+00:00,7531.5,7531.75,7529.25,7529.75,547
2026-06-19T04:37:00+00:00,7529.75,7531.25,7529.25,7531.25,303
2026-06-19T04:38:00+00:00,7531.25,7532.25,7531.25,7531.25,237
2026-06-19T04:39:00+00:00,7531.5,7532.0,7531.0,7531.5,65
2026-06-19T04:40:00+00:00,7531.5,7531.75,7530.75,7531.25,101
2026-06-19T04:41:00+00:00,7531.25,7531.75,7531.0,7531.5,90
2026-06-19T04:42:00+00:00,7531.5,7531.5,7530.25,7530.75,79
2026-06-19T04:43:00+00:00,7530.25,7531.75,7530.25,7530.75,81
2026-06-19T04:44:00+00:00,7530.75,7531.25,7529.75,7530.5,84
2026-06-19T04:45:00+00:00,7530.75,7531.25,7530.25,7531.0,75
2026-06-19T04:46:00+00:00,7531.0,7531.25,7530.75,7530.75,68
2026-06-19T04:47:00+00:00,7530.25,7530.25,7528.5,7528.75,195
2026-06-19T04:48:00+00:00,7528.5,7528.75,7527.5,7528.5,394
2026-06-19T04:49:00+00:00,7527.75,7529.5,7527.5,7529.25,160
2026-06-19T04:50:00+00:00,7529.75,7530.25,7528.75,7529.75,117
2026-06-19T04:51:00+00:00,7529.75,7530.25,7528.0,7528.75,148
2026-06-19T04:52:00+00:00,7528.75,7529.0,7527.25,7527.25,101
2026-06-19T04:53:00+00:00,7527.25,7528.25,7527.0,7527.5,193
2026-06-19T04:54:00+00:00,7527.5,7529.0,7525.75,7526.25,295
2026-06-19T04:55:00+00:00,7526.25,7526.25,7523.75,7525.0,744
2026-06-19T04:56:00+00:00,7524.75,7526.5,7524.0,7524.0,303
2026-06-19T04:57:00+00:00,7524.0,7524.25,7522.5,7523.0,388
2026-06-19T04:58:00+00:00,7523.0,7524.5,7522.75,7523.25,162
2026-06-19T04:59:00+00:00,7523.25,7523.5,7521.5,7523.25,444
2026-06-19T05:00:00+00:00,7523.25,7525.5,7523.25,7525.5,363
2026-06-19T05:01:00+00:00,7525.5,7526.0,7524.25,7525.25,335
2026-06-19T05:02:00+00:00,7525.0,7526.25,7525.0,7526.0,187
2026-06-19T05:03:00+00:00,7525.75,7526.5,7524.25,7525.25,143
2026-06-19T05:04:00+00:00,7525.25,7526.25,7523.75,7524.0,131
2026-06-19T05:05:00+00:00,7524.0,7525.75,7523.75,7525.5,69
2026-06-19T05:06:00+00:00,7525.25,7526.75,7524.0,7526.75,116
2026-06-19T05:07:00+00:00,7526.75,7527.0,7525.25,7525.25,158
2026-06-19T05:08:00+00:00,7525.25,7525.75,7524.0,7524.75,143
2026-06-19T05:09:00+00:00,7524.5,7525.0,7524.0,7524.75,115
2026-06-19T05:10:00+00:00,7524.5,7525.0,7524.25,7524.75,61
2026-06-19T05:11:00+00:00,7524.75,7525.25,7523.0,7524.0,133
2026-06-19T05:12:00+00:00,7524.0,7524.75,7523.25,7524.5,108
2026-06-19T05:13:00+00:00,7524.25,7524.25,7522.0,7522.5,201
2026-06-19T05:14:00+00:00,7522.25,7524.75,7522.25,7524.25,178
2026-06-19T05:15:00+00:00,7524.5,7526.5,7524.5,7526.5,235
2026-06-19T05:16:00+00:00,7526.5,7526.5,7525.25,7526.0,76
2026-06-19T05:17:00+00:00,7525.75,7527.5,7525.75,7526.75,184
2026-06-19T05:18:00+00:00,7526.25,7527.5,7526.0,7527.25,196
2026-06-19T05:19:00+00:00,7527.0,7527.5,7526.25,7526.5,95
2026-06-19T05:20:00+00:00,7526.5,7526.5,7523.75,7524.5,475
2026-06-19T05:21:00+00:00,7524.75,7525.25,7521.0,7521.25,554
2026-06-19T05:22:00+00:00,7521.5,7523.25,7520.5,7523.25,368
2026-06-19T05:23:00+00:00,7522.75,7523.75,7521.75,7522.25,223
2026-06-19T05:24:00+00:00,7522.0,7523.0,7521.75,7523.0,59
2026-06-19T05:25:00+00:00,7523.0,7523.0,7521.5,7522.0,146
2026-06-19T05:26:00+00:00,7522.0,7524.5,7521.25,7524.25,124
2026-06-19T05:27:00+00:00,7524.0,7525.25,7523.5,7524.75,172
2026-06-19T05:28:00+00:00,7524.75,7525.0,7523.75,7523.75,89
2026-06-19T05:29:00+00:00,7524.0,7525.5,7523.75,7525.0,149
2026-06-19T05:30:00+00:00,7525.0,7525.75,7525.0,7525.5,104
2026-06-19T05:31:00+00:00,7525.5,7527.25,7525.5,7526.25,321
2026-06-19T05:32:00+00:00,7526.5,7528.25,7526.25,7528.25,231
2026-06-19T05:33:00+00:00,7528.0,7528.5,7526.5,7526.5,207
2026-06-19T05:34:00+00:00,7527.0,7527.25,7525.75,7526.5,140
